VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

NULLVALUE -666
NULLSTRING *

    1   879.874    56.704  0.004  0.019    7.801  134.158  4681.411  8159.197   4.180   5.057    8.562   10.512  877  883   53   60 +3.904159e+01 +2.463079e-02 +1.128407e+03 0.00000 1 None    1    2
    2   883.567    56.722  0.005  0.018    7.788  134.157  4673.846  8159.157   3.688   4.959    7.553   10.308  881  886   53   60 +3.958245e+01 +2.529400e-02 +9.474497e+02 0.00000 1 None    1    2
    3   126.903   145.176  0.007  0.025   10.370  131.134  6223.616  7975.291   4.382   5.005    8.976   10.403  124  130  142  148 +2.378438e+01 +2.448844e-02 +6.581177e+02 0.00000 1 None    2    2
    4   131.288   145.171  0.008  0.022   10.355  131.134  6214.634  7975.302   4.349   4.958    8.908   10.306  128  134  142  148 +2.672789e+01 +2.467617e-02 +7.136790e+02 0.00000 1 None    2    2
    5    88.656   152.933  0.002  0.007   10.501  130.869  6301.951  7959.167   3.550   4.857    7.272   10.097   86   92  150  156 +7.320544e+01 +2.495911e-02 +1.467190e+03 0.00000 1 None    3    1
    6   431.294   218.392  0.006  0.031    9.332  128.631  5600.174  7823.099   3.892   5.137    7.971   10.678  429  434  215  222 +2.961291e+01 +2.499361e-02 +7.696467e+02 0.00000 1 None    4    2
    7   435.159   218.395  0.005  0.028    9.318  128.631  5592.257  7823.093   4.083   5.056    8.362   10.509  432  438  215  222 +3.155186e+01 +2.478923e-02 +8.847534e+02 0.00000 1 None    4    2
    8   933.576   219.587  0.009  0.032    7.617  128.590  4571.420  7820.614   4.121   4.995    8.441   10.382  931  937  217  223 +2.889129e+01 +2.527434e-02 +7.469194e+02 0.00000 1 None    5    2
    9   938.289   219.545  0.006  0.033    7.601  128.592  4561.767  7820.703   3.796   4.995    7.775   10.382  935  940  217  223 +2.884465e+01 +2.512245e-02 +6.574525e+02 0.00000 1 None    5    2
   10   639.649   234.520  0.005  0.024    8.620  128.080  5173.429  7789.573   4.111   4.982    8.420   10.356  637  643  231  238 +4.103667e+01 +2.523010e-02 +1.153291e+03 0.00000 1 None    6    2
   11   643.700   234.513  0.003  0.024    8.607  128.080  5165.132  7789.588   3.372   5.087    6.907   10.575  642  646  231  238 +4.354422e+01 +2.531959e-02 +8.193221e+02 0.00000 1 None    6    2
   12   434.336   248.332  0.005  0.023    9.321  127.608  5593.942  7760.863   3.851   5.090    7.888   10.580  431  437  245  252 +3.598788e+01 +2.502295e-02 +9.887822e+02 0.00000 1 None    7    2
   13   437.714   248.345  0.004  0.021    9.310  127.608  5587.025  7760.837   3.646   5.004    7.468   10.401  435  440  245  252 +3.809193e+01 +2.499284e-02 +9.508292e+02 0.00000 1 None    7    2
   14   553.973   276.991  0.003  0.014    8.913  126.628  5348.907  7701.290   3.797   4.953    7.776   10.296  551  557  274  280 +3.614417e+01 +2.445140e-02 +8.982771e+02 0.00000 1 None    8    2
   15   558.632   276.995  0.004  0.013    8.897  126.628  5339.365  7701.282   3.532   4.888    7.233   10.161  557  561  274  280 +3.864593e+01 +2.501799e-02 +6.919969e+02 0.00000 1 None    8    2
   16   647.258   277.421  0.006  0.031    8.595  126.614  5157.845  7700.396   4.068   5.027    8.331   10.449  644  650  274  281 +2.910595e+01 +2.496012e-02 +7.868458e+02 0.00000 1 None    9    2
   17   651.631   277.414  0.007  0.030    8.580  126.614  5148.889  7700.412   3.896   5.064    7.980   10.527  649  655  274  281 +3.090183e+01 +2.519869e-02 +8.019517e+02 0.00000 1 None    9    2
   18   498.734   283.675  0.009  0.029    9.101  126.400  5462.046  7687.397   4.730   5.028    9.689   10.451  496  502  281  287 +2.715650e+01 +2.474903e-02 +7.706077e+02 0.00000 1 None   10    2
   19   503.032   283.671  0.005  0.028    9.087  126.400  5453.242  7687.405   4.142   5.011    8.483   10.416  500  506  281  287 +2.771154e+01 +2.462935e-02 +7.220073e+02 0.00000 1 None   10    2
   20   839.872   290.085  0.006  0.016    7.937  126.181  4763.341  7674.072   4.601   5.070    9.423   10.539  837  843  287  294 +3.374743e+01 +2.444440e-02 +1.017918e+03 0.00000 1 None   11    2
   21   843.873   290.087  0.004  0.015    7.923  126.181  4755.146  7674.067   4.031   5.065    8.257   10.529  841  847  287  294 +3.639303e+01 +2.448410e-02 +1.000618e+03 0.00000 1 None   11    2
   22   615.490   301.168  0.008  0.018    8.703  125.802  5222.911  7651.034   4.129   4.935    8.457   10.259  612  618  298  305 +3.352128e+01 +2.518321e-02 +8.759000e+02 0.00000 1 None   12    2
   23   619.799   301.176  0.004  0.018    8.688  125.802  5214.085  7651.017   3.760   5.042    7.701   10.481  617  623  298  305 +3.452922e+01 +2.464547e-02 +8.965038e+02 0.00000 1 None   12    2
   24  1009.483   304.140  0.007  0.014    7.358  125.701  4415.951  7644.857   4.144   4.925    8.487   10.236 1006 1012  301  308 +3.973782e+01 +2.514142e-02 +1.058447e+03 0.00000 1 None   13    2
   25  1013.023   304.153  0.004  0.016    7.346  125.700  4408.699  7644.830   4.139   4.999    8.476   10.391 1010 1015  301  308 +3.629840e+01 +2.446654e-02 +1.002137e+03 0.00000 1 None   13    2
   26   657.028   322.126  0.008  0.021    8.561  125.086  5137.835  7607.470   5.432   5.272   11.126   10.959  653  661  319  326 +2.918497e+01 +2.438379e-02 +1.002383e+03 0.00000 1 None   14    1
   27   499.257   332.572  0.006  0.036    9.100  124.729  5460.975  7585.756   3.879   5.210    7.945   10.830  496  502  329  336 +2.736389e+01 +2.497257e-02 +7.286990e+02 0.00000 1 None   15    2
   28   503.914   332.579  0.004  0.033    9.084  124.729  5451.436  7585.740   3.654   5.200    7.483   10.808  501  506  329  336 +2.893825e+01 +2.479283e-02 +6.975377e+02 0.00000 1 None   15    2
   29   719.242   353.812  0.005  0.019    8.349  124.003  5010.409  7541.604   3.949   4.964    8.087   10.319  716  722  351  357 +3.181537e+01 +2.468744e-02 +7.939091e+02 0.00000 1 None   16    2
   30   723.828   353.808  0.004  0.018    8.333  124.003  5001.018  7541.612   3.797   5.060    7.777   10.519  721  727  350  357 +3.569353e+01 +2.461272e-02 +9.088806e+02 0.00000 1 None   16    2
   31   788.823   353.580  0.003  0.022    8.111  124.011  4867.898  7542.086   3.674   5.047    7.525   10.491  786  792  350  357 +4.134724e+01 +2.490655e-02 +1.070753e+03 0.00000 1 None   17    2
   32   793.244   353.560  0.003  0.020    8.096  124.011  4858.843  7542.128   3.597   5.060    7.367   10.519  790  796  350  357 +4.684397e+01 +2.505249e-02 +1.161374e+03 0.00000 1 None   17    2
